palabra;ocurrencia;noqueja;queja
distancia;1;0.00591716;0.017751479
podar;0;0.98816568;0.970414201
podar;1;0.01183432;0.029585799
salgar;0;0.98816568;0.98816568
salgar;1;0.01183432;0.01183432
siempre;0;0.98816568;0.982248521
siempre;1;0.01183432;0.017751479
aqui;0;0.976331361;0.99408284
aqui;1;0.023668639;0.00591716
avion;0;0.98816568;0.98816568
avion;1;0.01183432;0.01183432
enterar;0;0.982248521;0.99408284
enterar;1;0.017751479;0.00591716
salir;0;0.982248521;0.982248521
salir;1;0.017751479;0.017751479
arma;0;0.98816568;0.98816568
arma;1;0.01183432;0.01183432
ayuda;0;0.99408284;0.98816568
ayuda;1;0.00591716;0.01183432
blanco;0;0.98816568;0.976331361
blanco;1;0.01183432;0.023668639
conductor;0;0.99408284;0.982248521
conductor;1;0.00591716;0.017751479
local;0;0.99408284;0.976331361
local;1;0.00591716;0.023668639
policia;0;0.98816568;0.982248521
policia;1;0.01183432;0.017751479
tres;0;0.982248521;0.958579882
tres;1;0.017751479;0.041420118
vehiculo;0;0.99408284;0.976331361
vehiculo;1;0.00591716;0.023668639
doblar;0;0.99408284;0.98816568
doblar;1;0.00591716;0.01183432
figura;0;0.99408284;0.99408284
figura;1;0.00591716;0.00591716
tertulia;0;0.99408284;0.99408284
tertulia;1;0.00591716;0.00591716
olor;0;0.982248521;0.976331361
olor;1;0.017751479;0.023668639
